estimate_var_code,estimate_description,denominator_var_code,denominator_description
DP02_0154E,Households with a broadband Internet subscription,DP02_0001E,Total households
DP03_0001E,Population 16 years and over,DP02_0088E,Total population
DP03_0002E,In the labor force,DP03_0001E,Population 16 years and over
DP03_0004E,Employed,DP03_0001E,Population 16 years and over
DP03_0005E,Unemployed,DP03_0001E,Population 16 years and over
DP03_0006E,In the armed forces,DP03_0001E,Population 16 years and over
DP03_0007E,Not in the labor force,DP03_0001E,Population 16 years and over
DP03_0009PE,% Unemployment rate: DP03_0005E (unemployed) / DP03_0002E (labor force),DP03_0002E,In the labor force
DP03_0018E,Workers 16 years and over,DP02_0088E,Total population
DP03_0019E,Drive alone,DP03_0018E,Workers 16 years and over
DP03_0020E,Carpool,DP03_0018E,Workers 16 years and over
DP03_0021E,Take public transit,DP03_0018E,Workers 16 years and over
DP03_0022E,Walk,DP03_0018E,Workers 16 years and over
DP03_0024E,Work from home,DP03_0018E,Workers 16 years and over
DP03_0032E,Civilian employed population 16 years and over,DP02_0088E,Total population
DP03_0033E,"Agriculture, forestry, fishing and hunting, and mining",DP03_0032E,Civilian employed population 16 years and over
DP03_0034E,Construction,DP03_0032E,Civilian employed population 16 years and over
DP03_0035E,Manufacturing,DP03_0032E,Civilian employed population 16 years and over
DP03_0036E,Wholesale trade,DP03_0032E,Civilian employed population 16 years and over
DP03_0037E,Retail trade,DP03_0032E,Civilian employed population 16 years and over
DP03_0038E,"Transportation and warehousing, and utilities",DP03_0032E,Civilian employed population 16 years and over
DP03_0039E,Information,DP03_0032E,Civilian employed population 16 years and over
DP03_0040E,"Finance and insurance, and real estate and rental and leasing",DP03_0032E,Civilian employed population 16 years and over
DP03_0041E,"Professional, scientific, and management, and administrative and waste management services",DP03_0032E,Civilian employed population 16 years and over
DP03_0042E,"Educational services, and health care and social assistance",DP03_0032E,Civilian employed population 16 years and over
DP03_0043E,"Arts, entertainment, and recreation, and accommodation and food services",DP03_0032E,Civilian employed population 16 years and over
DP03_0044E,"Other services, except public administration",DP03_0032E,Civilian employed population 16 years and over
DP03_0045E,Public administration,DP03_0032E,Civilian employed population 16 years and over
DP03_0052E,"Households with annual income and benefits of less than $10,000",DP02_0001E,Total households
DP03_0053E,"Households with annual income and benefits of $10,000 to $14,999",DP02_0001E,Total households
DP03_0054E,"Households with annual income and benefits of $15,000 to $24,999",DP02_0001E,Total households
DP03_0055E,"Households with annual income and benefits of $25,000 to $34,999",DP02_0001E,Total households
DP03_0056E,"Households with annual income and benefits of $35,000 to $49,999",DP02_0001E,Total households
DP03_0057E,"Households with annual income and benefits of $50,000 to $74,999",DP02_0001E,Total households
DP03_0058E,"Households with annual income and benefits of $75,000 to $99,999",DP02_0001E,Total households
DP03_0059E,"Households with annual income and benefits of $100,000 to $149,999",DP02_0001E,Total households
DP03_0060E,"Households with annual income and benefits of $150,000 to $199,999",DP02_0001E,Total households
DP03_0061E,"Households with annual income and benefits of $200,000 or more",DP02_0001E,Total households
DP03_0064E,Households with earnings,DP02_0001E,Total households
DP03_0066E,Households with Social Security,DP02_0001E,Total households
DP03_0068E,Households with retirement income,DP02_0001E,Total households
DP03_0070E,Households with Supplemental Security Income,DP02_0001E,Total households
DP03_0072E,Households with cash public assistance income,DP02_0001E,Total households
DP03_0074E,Households with Food Stamp/SNAP benefits in the past 12 months,DP02_0001E,Total households
DP03_0096E,With health insurance coverage,DP02_0071E,Civilian noninstitutionalized population
DP03_0097E,With private health insurance,DP02_0071E,Civilian noninstitutionalized population
DP03_0098E,With public coverage,DP02_0071E,Civilian noninstitutionalized population
DP03_0099E,No health insurance coverage,DP02_0071E,Civilian noninstitutionalized population
DP05_0002E,Male,DP02_0088E,Total population
DP05_0003E,Female,DP02_0088E,Total population
DP05_0005E,Under 5 years,DP02_0088E,Total population
DP05_0006E,5 to 9 years,DP02_0088E,Total population
DP05_0007E,10 to 14 years,DP02_0088E,Total population
DP05_0008E,15 to 19 years,DP02_0088E,Total population
DP05_0009E,20 to 24 years,DP02_0088E,Total population
DP05_0010E,25 to 34 years,DP02_0088E,Total population
DP05_0011E,35 to 44 years,DP02_0088E,Total population
DP05_0012E,45 to 54 years,DP02_0088E,Total population
DP05_0013E,55 to 59 years,DP02_0088E,Total population
DP05_0014E,60 to 64 years,DP02_0088E,Total population
DP05_0015E,65 to 74 years,DP02_0088E,Total population
DP05_0016E,75 to 84 years,DP02_0088E,Total population
DP05_0017E,85 years and over,DP02_0088E,Total population
DP05_0019E,Under 18 years,DP02_0088E,Total population
DP05_0021E,18 years and over,DP02_0088E,Total population
DP05_0024E,65 years and over,DP02_0088E,Total population
DP05_0035E,Two or more races,DP02_0088E,Total population
DP05_0037E,White alone,DP02_0088E,Total population
DP05_0038E,Black or African American alone,DP02_0088E,Total population
DP05_0039E,American Indian and Alaska Native alone,DP02_0088E,Total population
DP05_0047E,Asian alone,DP02_0088E,Total population
DP05_0055E,Native Hawaiian and Other Pacific Islander alone,DP02_0088E,Total population
DP05_0060E,Some other race alone,DP02_0088E,Total population
DP05_0076E,Hispanic or Latino,DP02_0088E,Total population
DP05_0081E,Not Hispanic or Latino,DP02_0088E,Total population
DP05_0082E,"White alone, not Hispanic or Latino",DP02_0088E,Total population
DP05_0083E,"Black or African American alone, not Hispanic or Latino",DP02_0088E,Total population
DP05_0084E,"American Indian and Alaska Native alone, not Hispanic or Latino",DP02_0088E,Total population
DP05_0085E,"Asian alone, not Hispanic or Latino",DP02_0088E,Total population
DP05_0086E,"Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino",DP02_0088E,Total population
DP05_0087E,"Some other race alone, not Hispanic or Latino",DP02_0088E,Total population
DP05_0088E,"Two or more races, not Hispanic or Latino",DP02_0088E,Total population
